ROOM,ROOM_TYPE,LABEL_COUNT,NN_AVG_ERROR,SLSQP_AVG_ERROR,ERROR_DIFFERENCE,IMPROVEMENT_PCT
Hall 1,Hall,8,1.5351666666666668,1.7530694444444443,-0.21790277777777756,-14.19407954257589
Hall 2,Hall,7,2.033428571428572,1.9657142857142857,0.06771428571428606,3.3300547983701163
Hall 3,Hall,8,1.630375,1.9408750000000001,-0.3105000000000002,-19.044698305604555
Room 1,Room,15,2.9341851851851852,2.8258074074074075,0.10837777777777768,3.6936243262688837
Room 10,Room,12,3.4404166666666662,2.097,1.3434166666666663,39.0480804166162
Room 11,Room,12,3.6171666666666664,2.8048333333333333,0.8123333333333331,22.45772473851541
Room 2,Room,12,3.0538568121693124,3.0809464285714285,-0.027089616402116157,-0.8870624285384553
Room 3,Room,8,3.4601006944444443,3.0162559523809525,0.4438447420634919,12.827509406767593
Room 4,Room,9,2.3823333333333334,2.450111111111111,-0.06777777777777771,-2.845016557063567
Room 5,Room,12,2.222166666666667,2.67975,-0.457583333333333,-20.59176479411984
Room 6,Room,9,2.677111111111111,2.7784444444444443,-0.10133333333333328,-3.7851747322984957
Room 7,Room,12,3.1104097222222222,3.2803726851851853,-0.1699629629629631,-5.464327151136012
Room 8,Room,12,4.0513356481481475,3.3895648148148148,0.6617708333333328,16.33463358277476
Room 9,Room,12,3.1959999999999997,2.22575,0.9702499999999996,30.35826032540675
