LABEL,MEAN_ERROR
1611,1.7777777777777777
1613,2.3
1615,5.51
1631,2.05
1633,3.122
1635,5.154000000000001
1651,1.7259999999999998
1653,2.509
1655,4.724
1671,0.0
1673,2.645
1675,4.228
1691,1.466
1693,2.807
1695,3.9939999999999998
3911,0.6300000000000001
3913,2.192
3915,3.7749999999999995
3931,1.97
3933,2.8520000000000003
3935,3.8899999999999997
3951,2.73
3953,3.28
3955,2.775
4011,2.315
4013,2.63
4015,3.557
4031,0.45999999999999996
4033,1.3800000000000001
4035,2.9939999999999998
4051,2.4699999999999998
4053,2.735
4055,2.9
4111,0.7000000000000001
4113,2.0562500000000004
4115,2.52
4117,5.502222222222223
4131,0.8
4133,2.185
4135,2.617
4137,4.381
4151,3.3871428571428575
4153,2.345555555555556
4155,3.731111111111111
4157,6.421000000000001
4311,3.2019999999999995
4313,3.022
4315,4.765999999999999
4331,1.8819999999999997
4333,2.5300000000000002
4335,4.266
4351,3.117
4353,2.52
4355,4.684
4371,3.3009999999999997
4373,3.444
4375,4.550999999999999
4511,4.006
4513,2.7119999999999997
4515,3.728999999999999
4531,3.441
4533,1.5350000000000001
4535,4.644999999999999
4551,2.375
4553,2.525
4555,3.6799999999999997
4571,2.54
4573,2.945
4575,4.218999999999999
4611,3.024
4613,1.135
4615,4.766
4631,2.879
4633,3.714
4635,5.267
4651,3.750999999999999
4653,4.305999999999999
4655,4.057
4671,2.6399999999999997
4673,3.053
4675,4.814
4711,3.3150000000000004
4713,2.457
4715,2.4560000000000004
4731,2.356666666666667
4733,3.5300000000000002
4735,3.2569999999999992
4751,2.78625
4753,2.698
4755,4.242999999999999
4771,2.92
4773,2.808
4775,4.497999999999999
5111,2.3280000000000003
5113,4.13
5115,4.257
5117,4.25625
5131,2.49
5133,3.0669999999999997
5135,4.52
5137,5.6211111111111105
5151,2.575
5153,3.8899999999999997
5155,4.906666666666667
5157,6.575
5311,3.091
5313,2.0100000000000002
5315,2.53
5331,2.315
5333,0.7649999999999999
5335,2.7600000000000002
5351,2.2399999999999998
5353,1.705
5355,2.725
5371,1.1149999999999998
5373,2.2
5375,3.21
5711,1.9249999999999998
5712,2.208
5714,2.7255555555555557
5716,2.285
5721,5.50625
5722,6.136
5724,3.045
5726,3.85
6121,0.0
6141,0.671
6161,2.471
6181,3.932
6211,1.889
6231,0.36
6251,0.8489999999999999
6271,2.091
6291,1.6600000000000001
6341,1.166
6343,0.54
6345,1.1600000000000001
6347,2.07
6351,1.4729999999999999
6353,1.3920000000000001
6355,2.173333333333334
6357,2.307
61101,2.5900000000000007
61121,1.8700000000000003
61141,2.7
62111,1.4920000000000002
62131,2.4219999999999997
62151,2.2800000000000002
